"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","569","Успешная авторизация пользователя в системе [2] POTTER","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","229","Успешная авторизация пользователя в системе [5] Neville Longbottom","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","343","Успешная авторизация пользователя в системе используя класс с методами [5] Neville Longbottom","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","3578","Успешная авторизация пользователя в системе [1] GRANGER","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
"","2","systemPropertiesTest2()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest2"
"","240","Успешная авторизация пользователя в системе [4] Albus Dumbledore","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","340","Успешная авторизация пользователя в системе используя класс с методами [1] Hermoine Granger","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","1","systemPropertiesTest4()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest4"
"","30","systemPropertiesTest()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest"
"","343","Успешная авторизация пользователя в системе используя класс с методами [4] Albus Dumbledore","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","240","Успешная авторизация пользователя в системе [2] Harry Potter","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","1","systemPropertiesTest3()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest3"
"","4","systemPropertiesTest1()","","2026-08-09","passed","2026-08-09","","properties.test.SystemPropertiesTests","properties.test.SystemPropertiesTests","systemPropertiesTest1"
"","246","Успешная авторизация пользователя в системе [1] Hermoine Granger","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","364","Успешная авторизация пользователя в системе используя класс с методами [2] Harry Potter","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","345","Успешная авторизация пользователя в системе используя класс с методами [3] Ron Weasly","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","testAnnotatedStep"
"","232","Успешная авторизация пользователя в системе [3] Ron Weasly","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest"
"","542","Успешная авторизация пользователя в системе [3] WEASLY","","2026-08-09","passed","2026-08-09","","tests.TestPotters","tests.TestPotters","customerSuccessLoginTest1"
